date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:30	7846/7846	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Jan%202018%2019:41:56%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/user7-128x128.jpg	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/user7-128x128.jpg	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/widgets.html)
17:35:35	9985/9985	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Jan%202018%2019:42:20%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/user5-128x128.jpg	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/user5-128x128.jpg	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/widgets.html)
17:35:57	11945/11945	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2013%20Apr%202018%2010:17:06%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/js/pages/widget-charts.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/js/pages/widget-charts.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/charts/chartjs.html)
17:36:05	35652/35652	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202017%2017:46:20%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/morris.js/morris.min.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/morris.js/morris.min.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/charts/morris.html)
17:36:06	93251/93251	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202017%2017:46:22%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/raphael/raphael.min.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/raphael/raphael.min.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/charts/morris.html)
17:36:07	2303/2303	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2013%20Apr%202018%2010:17:06%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/js/pages/widget-morris-charts.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/js/pages/widget-morris-charts.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/charts/morris.html)
17:36:09	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2006:25:38%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/layout/top-nav.html	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/layout/top-nav.html	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/charts/flot.html)
17:36:13	3314/3314	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202017%2017:43:58%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/Flot/jquery.flot.resize.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/Flot/jquery.flot.resize.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/charts/flot.html)
17:36:17	23809/23809	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202017%2017:43:58%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/Flot/jquery.flot.pie.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/Flot/jquery.flot.pie.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/charts/flot.html)
17:36:17	122971/122971	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202017%2017:43:58%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/Flot/jquery.flot.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/Flot/jquery.flot.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/charts/flot.html)
17:36:18	6033/6033	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202017%2017:43:58%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/Flot/jquery.flot.categories.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/Flot/jquery.flot.categories.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/charts/flot.html)
17:36:19	6546/6546	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2013%20Apr%202018%2010:17:06%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/js/pages/widget-flot-charts.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/js/pages/widget-flot-charts.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/charts/flot.html)
